CPU %, %MEM, TIME+, COMMAND
0.0, 0.1, 0:00.03, cupsd
0.0, 22.8, 1:57.22, java
0.0, 0.0, 0:00.07, show_ti+
0.0, 0.1, 0:00.12, unatten+
0.0, 0.2, 0:02.80, contain+
0.0, 0.1, 0:00.03, gdm3
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.0, 0:00.00, nginx
0.0, 0.1, 0:00.06, gdm-ses+
0.0, 0.1, 0:01.57, systemd
0.0, 0.0, 0:00.00, (sd-pam)
0.0, 0.1, 0:00.32, pipewire
0.0, 0.0, 0:01.31, snapd-d+
0.0, 0.2, 0:00.51, wireplu+
0.0, 0.1, 0:00.11, pipewir+
0.0, 0.1, 0:00.28, gnome-k+
0.0, 0.1, 0:02.11, dbus-da+
0.0, 0.0, 0:00.10, rtkit-d+
0.0, 0.1, 0:00.00, gdm-way+
0.0, 0.1, 0:00.07, gnome-s+
0.0, 0.1, 0:00.00, gcr-ssh+
0.0, 0.1, 0:00.00, gnome-s+
0.0, 0.0, 0:00.00, ssh-age+
0.0, 0.1, 0:00.09, gvfsd
0.0, 0.1, 0:00.01, gvfsd-f+
0.0, 0.1, 0:00.24, gnome-s+
0.0, 0.1, 0:00.02, at-spi-+
0.0, 0.0, 0:00.00, krfcommd
0.0, 2.4, 5:12.06, gnome-s+
0.0, 0.0, 0:02.04, dbus-da+
0.0, 0.1, 0:00.17, xdg-doc+
0.0, 0.1, 0:00.00, xdg-per+
0.0, 0.0, 0:00.00, fusermo+
0.0, 0.1, 0:00.34, snapd-d+
0.0, 0.1, 0:00.49, xdg-des+
0.0, 0.2, 0:00.78, xdg-des+
0.0, 0.1, 0:00.12, gnome-s+
0.0, 0.2, 0:00.19, evoluti+
0.0, 0.1, 0:01.17, upowerd
0.0, 0.1, 0:00.09, goa-dae+
0.0, 0.1, 0:00.14, evoluti+
0.0, 0.1, 0:00.07, goa-ide+
0.0, 0.1, 0:00.02, dconf-s+
0.0, 0.1, 0:00.59, gvfs-ud+
0.0, 0.1, 0:00.03, gvfs-mt+
0.0, 0.1, 0:00.09, evoluti+
0.0, 0.1, 0:00.03, gvfs-gp+
0.0, 0.1, 0:00.02, gvfs-go+
0.0, 0.1, 0:00.29, gvfs-af+
0.0, 0.1, 0:00.10, gjs
0.0, 0.1, 0:00.06, cups-br+
0.0, 0.4, 0:04.35, dockerd
0.0, 0.2, 0:14.07, java
0.0, 0.0, 0:00.00, kernelo+
0.0, 0.0, 0:00.00, kernelo+
0.0, 0.1, 0:00.11, gvfsd-t+
0.0, 0.0, 0:00.00, iprt-VB+
0.0, 0.0, 0:00.00, iprt-VB+
0.0, 0.1, 0:00.03, at-spi2+
0.0, 0.1, 0:00.20, colord
0.0, 0.0, 0:00.00, sh
0.0, 0.1, 0:00.01, gsd-a11+
0.0, 0.2, 0:00.18, gsd-col+
